Plant_Name,Temperature_Range(°C),Humidity_Range(%),NPK_Required(mg/kg),Fertilizer_Used,Fertilizer_Bags_per_ha,Fertilizer_Bags_per_sqm,Fertilizer_Bags_per_acre
Zucchini,16-24,65-85,110-55-75,NPK 20-20-20,6.11,0.1844,3.87
Bell Pepper,16-24,60-80,140-70-90,Superphosphate,13.46,0.1422,11.82
Eggplant,21-29,45-65,110-55-75,Urea,12.59,0.1023,11.91
Strawberry,16-24,50-72,130-65-85,DAP,26.41,0.1694,9.18
Zucchini,21-29,58-78,135-68-88,Compost,14.53,0.0648,11.45
Spinach,20-28,65-85,135-68-88,Superphosphate,19.01,0.1121,11.67
Carrot,16-24,62-82,105-52-72,MOP,7.86,0.165,6.6
Lettuce,14-22,50-72,130-65-85,Superphosphate,10.27,0.2426,2.4
Bell Pepper,14-22,45-65,120-60-80,Compost,6.33,0.1655,5.85
Cucumber,20-28,62-82,105-52-72,Compost,21.84,0.0664,11.88
Lettuce,21-29,60-80,105-52-72,MOP,12.81,0.1602,6.65
Carrot,15-22,50-72,95-45-65,NPK 20-20-20,25.57,0.2836,11.44
Bell Pepper,20-Dec,40-60,140-70-90,DAP,8.78,0.1394,10.82
Cucumber,21-29,50-72,105-52-72,DAP,19.51,0.0813,8.38
Lettuce,20-Dec,40-60,125-62-82,Compost,26.33,0.1985,2.37
Carrot,20-Dec,53-77,130-65-85,Compost,26.18,0.0799,2.96
Broccoli,14-22,58-78,100-50-70,Vermicompost,9.02,0.2658,10.09
Eggplant,20-28,62-82,105-52-72,Urea,7.85,0.0671,8.82
Eggplant,22-30,53-77,95-45-65,DAP,25.78,0.0659,7.85
Zucchini,19-26,65-85,95-45-65,DAP,17.84,0.2404,5.55
Tomato,19-26,53-77,120-60-80,Vermicompost,15.59,0.1458,6.76
Bell Pepper,18-25,53-77,105-52-72,DAP,12.92,0.2013,3.71
Zucchini,14-22,40-60,140-70-90,Superphosphate,16.11,0.1821,3.1
Tomato,20-Dec,53-77,120-60-80,Urea,26.32,0.0971,5.06
Bell Pepper,19-26,40-60,95-45-65,Superphosphate,17.63,0.0724,4.81
Zucchini,22-30,55-75,105-52-72,Vermicompost,21.7,0.0732,2.06
Spinach,19-26,58-78,135-68-88,DAP,28.47,0.0957,8.66
Lettuce,16-24,53-77,110-55-75,MOP,25.09,0.2528,10.92
Bell Pepper,16-24,50-72,120-60-80,NPK 20-20-20,12.21,0.1451,7.61
Eggplant,18-Oct,50-72,140-70-90,DAP,28.89,0.181,6.84
Lettuce,16-24,55-75,130-65-85,NPK 20-20-20,14.63,0.259,7.16
Strawberry,16-24,62-82,110-55-75,DAP,12.37,0.1656,6.09
Zucchini,16-24,60-80,135-68-88,Superphosphate,5.25,0.1059,5.12
Eggplant,20-28,50-70,140-70-90,Vermicompost,14.75,0.0775,8.45
Zucchini,19-26,55-75,110-55-75,MOP,26.9,0.1992,8.68
Zucchini,19-26,60-80,130-65-85,Compost,10.92,0.0546,5.48
Carrot,14-22,60-80,110-55-75,DAP,17.71,0.0971,8.24
Strawberry,16-24,50-72,135-68-88,MOP,11.93,0.1919,2.06
Zucchini,21-29,45-65,100-50-70,DAP,10.78,0.1743,6.9
Carrot,14-22,45-65,110-55-75,NPK 20-20-20,20.15,0.2228,2.56
Zucchini,21-29,45-65,125-62-82,MOP,14.61,0.0757,3.27
Strawberry,18-Oct,55-75,105-52-72,DAP,23.41,0.2976,3.38
Tomato,18-25,50-70,130-65-85,Vermicompost,19.32,0.257,9.65
Spinach,18-Oct,40-60,100-50-70,Superphosphate,15.41,0.0803,10.16
Carrot,18-Oct,50-72,125-62-82,DAP,14.44,0.2324,4.27
Lettuce,14-22,60-80,125-62-82,NPK 20-20-20,8.94,0.2091,9.74
Zucchini,19-26,55-75,135-68-88,Urea,16.53,0.081,4.13
Broccoli,19-26,40-60,130-65-85,Superphosphate,9.82,0.2635,4.61
Strawberry,22-30,55-75,90-40-60,Ammonium Sulphate,11.57,0.2691,2.07
Broccoli,15-22,40-60,95-45-65,NPK 20-20-20,20.86,0.2875,6.56
Tomato,15-22,58-78,90-40-60,Superphosphate,23.3,0.0943,10.36
Tomato,20-Dec,58-78,120-60-80,Vermicompost,28.37,0.0833,8.86
Eggplant,20-28,40-60,130-65-85,Urea,21.14,0.1414,10.75
Tomato,20-Dec,65-85,135-68-88,Ammonium Sulphate,18.72,0.1393,2.71
Zucchini,18-Oct,50-72,90-40-60,Superphosphate,21.78,0.165,9.69
Broccoli,22-30,50-70,95-45-65,MOP,29.13,0.1298,6.74
Tomato,20-Dec,50-70,100-50-70,Urea,14.57,0.0753,5.86
Carrot,16-24,62-82,140-70-90,NPK 20-20-20,15.07,0.2029,6.85
Tomato,18-25,45-65,100-50-70,Ammonium Sulphate,10.23,0.1896,7.04
Eggplant,15-22,50-72,120-60-80,DAP,24.23,0.2733,7.78
Spinach,20-Dec,53-77,105-52-72,Vermicompost,5.33,0.0977,9.1
Cucumber,16-24,53-77,120-60-80,Superphosphate,26.12,0.1909,11.48
Zucchini,20-Dec,65-85,130-65-85,MOP,22.14,0.2387,5.03
Lettuce,18-Oct,62-82,130-65-85,NPK 20-20-20,26.27,0.2939,6.2
Eggplant,20-28,60-80,135-68-88,Ammonium Sulphate,28.14,0.268,4.62
Zucchini,14-22,62-82,95-45-65,Urea,19.4,0.2291,5.71
Bell Pepper,19-26,62-82,125-62-82,NPK 20-20-20,14.48,0.1207,10.26
Eggplant,18-Oct,50-70,110-55-75,Superphosphate,26.78,0.0841,9.93
Bell Pepper,15-22,40-60,110-55-75,NPK 20-20-20,6.06,0.2179,11.26
Cucumber,18-25,40-60,95-45-65,DAP,10.54,0.1739,9.19
Broccoli,20-Dec,55-75,120-60-80,Vermicompost,5.05,0.2024,10.89
Strawberry,20-28,60-80,120-60-80,NPK 20-20-20,27,0.2725,10.12
Spinach,20-28,58-78,95-45-65,Superphosphate,10.43,0.2985,4.28
Bell Pepper,19-26,65-85,120-60-80,NPK 20-20-20,27.55,0.2013,10.2
Broccoli,15-22,50-72,130-65-85,Vermicompost,13.74,0.0884,8.87
Bell Pepper,18-Oct,53-77,100-50-70,Ammonium Sulphate,13.26,0.1413,9.15
Eggplant,20-Dec,53-77,100-50-70,DAP,18.5,0.2155,7.73
Eggplant,18-Oct,50-70,105-52-72,Superphosphate,10.58,0.0593,4.19
Lettuce,20-Dec,50-72,100-50-70,Urea,27.54,0.1615,10.53
Spinach,20-28,62-82,95-45-65,MOP,26.56,0.1215,9.19
Eggplant,20-28,53-77,130-65-85,Vermicompost,17.64,0.2066,9.74
Tomato,18-Oct,58-78,95-45-65,DAP,20.07,0.267,6.06
Tomato,16-24,50-72,130-65-85,Ammonium Sulphate,25.09,0.1184,3.51
